x;y;life_span;mean_BC;max_BC;trend_BC;mean_DeltaBC;max_DeltaBC;BC_EuclideanNorm;BC_Deviation;BC_EvolutionType
2280757;6777228;46;3.9960893914305627e-07;2.257620881488073e-06;3.746098010235712e-08;8.647917317765421e-08;1.9398002393713496e-06;5.936720476722929e-06;7.787815737693348e-07;4
2284652;6795827;35;1.6278114195657058e-07;1.923845844797584e-06;2.5519504358774708e-08;5.813690528382488e-08;1.923845844797584e-06;3.289575261796403e-06;5.316789014013974e-07;4
2291150;6779588;11;4.282657251907295e-07;6.412819482658614e-07;2.724871438702205e-08;3.9146933768589314e-08;3.135941298966653e-07;1.4812077218536803e-06;1.2665252040503098e-07;0
2291902;6779172;3;1.8991133228266563e-06;1.923845844797584e-06;-2.64044674262332e-08;2.6404467426230767e-08;3.1420303792140646e-08;3.289575261796403e-06;2.168843170723984e-08;0
2366458;6937814;50;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
2439801;6840607;55;5.413176886022447e-06;8.439169561603224e-06;9.44444798834996e-08;5.295333275501765e-07;4.41068222329053e-06;4.335886164036942e-05;2.2088839748264376e-06;4
2456130;6843516;10;6.0196576537017225e-06;6.412819482658614e-06;9.472236525866778e-09;2.0489510427744746e-07;8.421265703822808e-07;1.9060783955923036e-05;3.083346131519661e-07;0
2531612;6846850;36;2.414675047508311e-06;3.013989129144009e-06;-9.495181900551688e-09;1.0074918377325659e-07;5.454104964166647e-07;1.455572165674706e-05;2.3365643620982055e-07;4
2671680;6821774;55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
2699014;6800591;33;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
2971627;7367545;55;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
2995109;7733747;19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3040776;7067808;40;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3106459;7512666;57;0.0013276839871398;0.0065681254386206;-5.972637543958381e-06;0.0002717448994411;0.0063746990959709;0.0180347166482594;0.0019858029120315;4
3120359;7804319;42;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3126463;6534436;29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3129551;7527716;3;0.0015492590876988;0.0015592770572084;-1.0798278359272288e-05;1.0798278359271086e-05;1.31392049082591e-05;0.0026834395878004;8.885548612846514e-06;0
3129576;7527616;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3129649;7527513;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3129660;7527578;3;0.0023234138532175;0.0023384346243514;-1.6190816422051826e-05;1.6190816422050102e-05;1.970095228644034e-05;0.0040243370011814;1.3322901444288917e-05;0
3129678;7527689;3;0.0061865912275197;0.0062265270766873;-4.30478888662448e-05;4.304788886624021e-05;5.238400796217946e-05;0.0107156659802129;3.54229220430126e-05;0
3129683;7527721;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3130044;7527225;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3130218;7527224;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3130230;7527171;61;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3135400;7267470;25;0.0019152937431751;0.0037604694613605;-9.647713610364396e-05;0.0001773719117027;0.0022234793370491;0.0108305252260343;0.0010117613079303;0
3158274;7278173;55;0.0018236179189763;0.0056351420828696;4.717433866815257e-05;0.0002533806006682;0.0044309261941311;0.0178178081502471;0.0015641858758785;4
3172988;6897210;49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3184930;7535368;37;0.0044556228345267;0.0078024774645507;2.1263196811170693e-06;0.0004748707722474;0.0049214695501856;0.0292577570790289;0.0018119056720561;4
3210411;7818902;74;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3212192;7816483;30;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3219080;7747520;42;0.0013113648893253;0.0018036170193838;1.9001300003470244e-05;4.842116095199469e-05;0.0008982490011512;0.008767366487946;0.000332388343939;4
3230542;7605524;41;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3235094;7604851;7;2.9843209358704604e-06;7.054101430924475e-06;1.4852450121812155e-06;1.207955698675028e-06;7.054101430924475e-06;1.2061775959920144e-05;3.446390226835367e-06;0
3235814;7608874;49;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3244544;7787666;30;0.0005687401556726;0.0019638211505562;-8.009067652774612e-05;6.776003788703016e-05;0.0018250211433725;0.0056857139396304;0.0008683966463751;4
3324985;7678562;9;0.0007868491359446;0.0008018335836069;-3.833260397522879e-06;4.51939050804993e-06;8.596901372289454e-06;0.0023607475507777;1.0246592234749692e-05;0
3327548;7432598;8;0.0008937594977314;0.0024012802552815;0.0004246985989545;0.0003484470076881;0.0024012802552815;0.0041281857776623;0.0011538776742257;0
3335700;7227268;28;0.0025135258016471;0.004004874881019;8.971742916534299e-05;0.0003017710892843;0.0021950334769829;0.0145674394608662;0.0011229991364123;0
3350182;7635976;21;0.0035535275059697;0.0040073716958492;5.76155360400767e-05;0.0001504531146241;0.0008970962508253;0.0164434634857889;0.0004980332250878;0
3351167;7635289;35;0.0025146111154436;0.0048066905683965;2.2089421446356005e-05;0.000425248314781;0.0047267847118412;0.0185250464186279;0.0018659576449439;4
3354309;7556449;47;0.0043795125719661;0.008436026796791;1.7534536387115807e-05;0.000519308098729;0.0049256381019385;0.0329451386707392;0.0019781575068938;4
3355302;7039473;49;0.0007387621701839;0.0045889402084422;5.926319272443287e-05;0.0001050811338016;0.0037978272103063;0.0098449115692037;0.0011967607312461;4
3356808;7546128;3;0.0007946096719783;0.0007961985898659;-1.2148657205180174e-06;2.3833768314607917e-06;3.598242551978992e-06;0.0013763067721958;1.4987536509020271e-06;0
3357061;7546568;3;0.0015885333815294;0.0015917099129301;-2.4127182898716587e-06;4.764797101100386e-06;7.1775153909724426e-06;0.0027514253925277;2.987638236820518e-06;0
3363683;7610741;37;6.18035131954778e-08;3.4363340089166e-07;8.098710479502333e-09;1.0428536577568504e-08;3.4363340089166e-07;8.647181857710873e-07;1.280212813602032e-07;4
3366538;7632956;42;0.0001496448672205;0.000795854956465;1.728926618688329e-05;2.0073794693358888e-05;0.0007946789170594;0.0022222694589875;0.0003085276449896;4
3367597;7625807;9;3.258910371177522e-05;3.772066589548861e-05;1.6256414981237038e-07;2.7340891192598018e-06;1.0681215337123958e-05;9.830785154141494e-05;3.431658945390509e-06;0
3370127;7638321;8;3.297364604744819e-07;3.511616955631773e-07;-5.387856221487489e-09;5.617458653189082e-09;9.484856492841611e-09;9.33301707506231e-07;1.2465002527725973e-08;0
3370139;7638527;34;0.0009720127520681;0.0012813167352466;-1.0460351217178175e-05;2.785226542217084e-05;0.0003157457472865;0.0057081718727018;0.0001162815121213;4
3370254;7638529;34;4.595853066814301e-06;1.4009722747586826e-05;-2.6357245573570284e-07;3.5921988257537805e-07;2.1217078479414845e-06;3.222756294510293e-05;3.0701235335425155e-06;4
3370262;7638519;34;0.0048436260363851;0.0063753320485441;-5.163116522060103e-05;0.0001386117003238;0.0015831411534427;0.0284417202203569;0.00057566332484;4
3370897;7644238;48;0.0009863569679227;0.0015126039716203;-1.1774454989921506e-05;2.985365994947783e-05;0.0003149286330254;0.0069440118672533;0.0001779570137941;4
3370933;7644110;48;0.0019660643388635;0.0030124702255849;-2.3378871727647422e-05;5.969830550493921e-05;0.0006318183402775;0.0138397858827136;0.0003535546286441;4
3371040;7644148;48;5.080366781082578e-06;1.5566358608429806e-05;-9.337870627505693e-08;7.40117964311392e-07;1.1996275193430814e-05;4.0626988062991926e-05;2.928545147960185e-06;4
3373113;6838997;51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3373367;7634008;11;0.0034999430851964;0.0066624379021448;-0.0004631959956771;0.0004361479770625;0.0040216993031989;0.0131520743992674;0.001864292295852;0
3373371;7634000;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3373375;7634006;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3373392;7634003;11;0.0050807701366595;0.0083124319857541;-0.0004726343885936;0.0004484039688041;0.0040247427348792;0.0179782243866856;0.0018892055834212;0
3373392;7634195;11;0.0042899325478895;0.0074849132036382;-0.0004676140326857;0.0004419911092947;0.0040205347685024;0.0155283892664922;0.0018754911912217;0
3374372;7650872;15;0.0462031640816196;0.1555555555555555;-0.0102640842199873;0.0110596945713408;0.0658119658119658;0.2625643197097707;0.0496111791282023;3
3374722;7650834;15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3375267;7647384;7;0.0013585115874367;0.0015883008437169;-7.264106401351369e-05;7.014726116871925e-05;0.0001120403092323;0.0036152250560367;0.000146860513703;0
3375726;7631431;59;0.0061151284827215;0.010386475165432;8.08089047451349e-05;0.0004848282716698;0.0040278667235904;0.0500191996865014;0.0022384443448964;4
3375827;7645339;3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
3375834;7645322;3;0.0012367793708397;0.0015175300889586;-0.0003139161919871;0.0003139161919871;0.0004134126135918;0.0021891907362148;0.0002605676131863;0
3376227;7590904;7;0.0011014739547608;0.0015240065500538;0.0001536837537951;0.0001273852488459;0.0007359173468759;0.0030640349920737;0.0003576902733483;0
3377029;7617893;39;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4
3377803;7608767;78;0.0078348827152773;0.0888888888888888;-0.0002740936797909;0.0031895335293347;0.0476190476190476;0.1722365729141776;0.017858911748858;3
3378215;7608685;10;0.0007906037090337;0.0008213977307147;-4.658303686354226e-06;6.154708344205742e-06;1.9204902670686236e-05;0.0025005086322311;1.4146280371823238e-05;0
3379514;7647979;6;0.0007872828330913;0.0007972784269355;-5.015639705112936e-06;4.783300831652645e-06;8.716697724306041e-06;0.0019285605272151;8.757391646413279e-06;0
3379540;7648026;6;0.002330111255014;0.0023590887234556;-1.459199128845667e-05;1.3912644930561858e-05;2.5459502437764386e-05;0.0057079252177275;2.5493550531412143e-05;0
