year;Spearman_r;p_value;N
1947;-0.36184756588052513;0.2741793007669195;11
1948;-0.36184756588052513;0.2741793007669195;11
1949;-0.23969166786321638;0.40916558479919174;14
1950;0.02132073413315386;0.935266765609392;17
1951;0.06163793461802575;0.8020681874177594;19
1952;0.0843527138823328;0.7162076554390743;21
1953;-0.005885028562393374;0.9787390614939071;23
1954;-0.028885992679038457;0.8934144446230647;24
1955;0.03264313129260757;0.8545864709771276;34
1956;0.22220728268803802;0.1739554568684693;39
1957;0.008041212118403007;0.958190092750655;45
1958;0.23561749985384567;0.06089303500773813;64
1959;0.3100404850245647;0.005737511747066891;78
1960;0.2742368756964401;0.005761874067088336;100
1961;0.4187029136745432;8.783486787568545e-08;151
1962;0.44448162320330886;6.025501344730649e-11;197
1963;0.3684881155371811;3.1358742569462305e-09;243
1964;0.3943239684840184;3.3647052275564123e-13;316
1965;0.42411102242835014;9.245285005566609e-18;374
1966;0.43625146635191797;1.1056587367916225e-21;436
1967;0.4401107975224445;4.5937434489415004e-24;478
1968;0.46036443525109366;3.606968076303648e-28;511
1969;0.4783548783626536;1.3639626297685796e-33;564
1970;0.49163052534588214;2.984071503075945e-40;640
1971;0.48663221988113037;5.1787979998490654e-42;685
1972;0.4945931298379909;3.22285802887991e-47;745
1973;0.4948000977958145;2.902045123330921e-50;794
1974;0.4774281171262738;2.5336795382502057e-49;845
1975;0.4793518163396243;1.2397563297338352e-53;913
1976;0.4835919135854923;5.187864085913505e-57;953
1977;0.4847068525948799;1.8648947092938265e-60;1007
1978;0.4711891854926172;1.0901793546641048e-59;1060
1979;0.44091914038658253;3.487488892620866e-55;1135
1980;0.4633129024199137;1.4146005585126727e-66;1232
1981;0.4883199471922066;8.438868770743383e-80;1316
1982;0.4965543432784433;2.6687624191584836e-87;1388
1983;0.48035147792787414;4.687120979516677e-84;1441
1984;0.4939578430334022;5.70884993976253e-93;1498
1985;0.5410280144301153;6.184285069371418e-123;1608
1986;0.5408719425404146;1.3548580972297625e-127;1671
1987;0.5406268536362252;1.7874728838751194e-133;1751
1988;0.5489089003661161;5.725864826533427e-144;1823
1989;0.5417254442286111;4.362541101655297e-144;1883
1990;0.5442425290019067;9.973562268829094e-149;1923
1991;0.5391451246766279;1.1701661249392673e-146;1939
1992;0.5463882073224757;1.6497548293686455e-152;1954
1993;0.5545669918724323;2.612844210772545e-160;1983
1994;0.5553242293713613;2.588433027687274e-161;1989
1995;0.5484699214736057;1.2291450543158447e-158;2015
1996;0.542837503647431;2.5227225469113573e-156;2035
1997;0.5399958542762979;7.97089407073749e-156;2054
1998;0.5420891918007892;2.6912114678853163e-159;2081
1999;0.5535251448628797;3.4932938433664006e-168;2091
2000;0.5493111610046264;2.119494397741784e-166;2107
2001;0.5521035531198363;3.93335260485584e-169;2116
2002;0.5534344876343098;1.3931647432955872e-170;2122
2003;0.5556670161651244;2.8339835607829997e-173;2135
2004;0.558303751837679;1.5086266217014732e-176;2151
2005;0.5575045450709432;3.0796579505555067e-177;2167
2006;0.5449108483043773;6.344002131901852e-169;2181
2007;0.5418383318736443;1.1594286708204954e-167;2194
2008;0.5438626132147739;3.874747151228107e-170;2207
2009;0.5440114497029213;1.8427080443239095e-172;2236
2010;0.5289774361207802;4.9832932736088346e-164;2272
2011;0.5311542156283836;3.9018792125720427e-168;2307
2012;0.531730731538044;1.826717717186393e-172;2361
2013;0.5232879976069135;5.155833234801988e-168;2388
2014;0.5350644641187032;6.701939791206936e-179;2414
2015;0.5186339621898288;1.1938428820385763e-168;2448
2016;0.5440283799019862;2.462344205782975e-189;2457
2017;0.5506464424798552;4.942785291079039e-196;2472
2018;0.5475259167584658;1.7221853680389565e-195;2499
2019;0.5392560930896807;1.2944882969675789e-189;2513
2020;0.5384384840999137;1.6854813629916594e-190;2534
