x;y;life_span;mean_SpectralNorm;max_SpectralNorm;trend_SpectralNorm;mean_DeltaSpec;max_DeltaSpec;n_role_changes;EvolutionType;index_right;Name;Name_en;dist_to_station
2280757;6777228;46;2.8473101018245293e-15;1.7555366239894496e-14;6.70606390975357e-17;2.2440975368771253e-15;1.668338772015081e-14;0;0;1122;Центральная;Tsentral'naja;0.55048819111792
2284652;6795827;35;3.4297528018696793e-15;1.760540376569845e-14;4.9589068072950135e-17;2.4797799191976033e-15;1.5387870753552485e-14;0;0;1123;Северная-330;Severnaja-330;0.27844327955101766
2291150;6779588;11;2.487610340726651e-15;1.0610368425179558e-14;1.35173999853094e-16;2.324725130203763e-15;9.524429835430843e-15;0;2;120;Калининградская ТЭЦ-2;Kaliningradskaja TETs-2;0.4781750532285547
2291902;6779172;3;2.2954598629412593e-15;2.7047227246877505e-15;-3.974469864338242e-17;6.138942926197367e-16;6.536389912631496e-16;0;2;121;Прегольская ТЭС;Pregol'skaja TES;0.5131254222872956
2366458;6937814;50;2.401827627690772e-15;1.4418302613822976e-14;6.634231453775328e-17;1.841527183313274e-15;1.275823481531417e-14;0;0;1127;Клайпеда;Klajpeda;0.631952189344655
2439801;6840607;55;4.960084222205972e-15;3.1534147344914105e-14;1.6510085938903404e-16;3.750384954718094e-15;2.8281070738372877e-14;0;0;1124;Советск-330;Sovetsk-330;0.4440479832465459
2456130;6843516;10;4.764399614402049e-15;1.9181817256221076e-14;1.8512702429879432e-16;4.5623784559511604e-15;1.701631898802549e-14;0;2;1125;Битенай;Bitenaj;0.2272135985323498
2531612;6846850;36;3.747150768746871e-15;1.814222616833705e-14;4.570654256943363e-17;2.7685384811725586e-15;1.5878489168977475e-14;0;0;1126;Юрбаркас;Jurbarkas;0.338361538617633
2671680;6821774;55;2.2275006158816517e-15;1.4744036733774794e-14;6.960146908082375e-17;1.7057132122106104e-15;1.2863917138872104e-14;0;0;1146;Каунас;Kaunas;0.5886288554546273
2699014;6800591;33;4.3757754954960045e-15;2.1081850533653978e-14;4.743764087664664e-17;3.2677606156376646e-15;1.8869821204492847e-14;0;0;122;Круонио ГАЭС;Kruonio GAES;0.47038531111472287
2971627;7367545;55;0.06039707410919592;0.16590461090431344;0.0009560890199562581;0.013513367598812926;0.10699460862980159;0;0;915;Тарту;Tartu;0.07123377150861275
2995109;7733747;19;0.06047524246302479;0.07295684218967588;-0.0015361302911183455;0.0025693756204507637;0.015161663993254283;0;2;916;Кюми;Kjumi;0.6335629111171629
3040776;7067808;40;0.09309026113117544;0.26466226980479834;-0.0021786504428867788;0.02231699965120194;0.2019662792475259;0;4;914;Резекне;Rezekne;0.16474950781967207
